Age,Gender,Marital_Status,Dependents,Education,Self_Employed,Work_Experience_Years,ApplicantIncome,CoapplicantIncome,Salary_Payment_Mode,Existing_EMI,Residential_Assets,Area,Loan_Purpose,LoanAmount,Loan_Amount_Term,Approved_Status,Approved_Bank,Hidden_CIBIL
53,1,0,3,1,1,31,70723,0,0,627,1,0,1,2175403,18,1,0,758.06
62,1,1,0,0,0,40,67430,0,0,4968,0,0,3,544592,72,1,0,752.4
46,0,1,0,2,0,21,70341,0,2,899,1,0,3,314223,60,1,0,792.31
57,0,1,2,1,0,23,61382,0,2,9,0,1,0,1859858,36,1,0,815.47
60,0,1,1,1,0,31,52537,31675,0,13823,0,1,1,826505,48,1,0,758.55
52,0,1,0,1,0,28,52923,0,2,16728,0,1,0,871935,24,1,0,783.85
60,0,0,1,1,0,37,64700,0,2,18594,0,1,3,159373,84,1,0,772.13
63,0,0,2,0,0,38,53592,0,1,15623,1,1,1,221389,48,1,0,751.82
62,0,1,0,1,0,43,56352,0,2,5764,0,2,2,2054080,72,1,0,766.33
64,1,1,1,1,0,37,62355,14447,2,8396,1,1,3,974993,84,1,0,774.26
62,1,0,0,1,1,39,59059,37086,2,13232,2,0,1,1938339,72,1,0,774.39
63,1,0,3,2,1,27,67154,50701,2,12847,1,0,0,634933,60,1,0,768.8
52,1,1,2,1,0,31,60053,0,1,6608,1,1,2,447693,72,1,0,757.3
53,0,1,3,1,0,24,59895,43165,2,3954,1,1,4,1861408,72,1,0,807.2
58,1,1,1,2,0,39,62260,0,2,12951,1,0,2,1431880,60,1,0,757.08
61,1,0,1,1,0,34,64938,44533,2,17215,1,1,1,1008872,18,1,0,801.76
44,0,0,2,2,0,21,71946,0,2,8581,0,1,2,320804,84,1,0,772.46
64,0,1,0,1,1,39,41313,30560,0,862,0,2,0,1652520,36,1,0,807.04
64,0,1,1,1,0,34,55458,0,2,975,0,2,3,2002361,18,1,0,792.5
