Age,Gender,Marital_Status,Dependents,Education,Self_Employed,Work_Experience_Years,ApplicantIncome,CoapplicantIncome,Salary_Payment_Mode,Existing_EMI,Residential_Assets,Area,Loan_Purpose,LoanAmount,Loan_Amount_Term,Hidden_CIBIL,Approved_Bank,Officer_Approved,Fraud_Label,Eligible_Loan_Amount
53,1,0,3,1,1,31,70723,0,0,627,1,0,1,2175403,18,758.06,0,1,1,2175403.0
62,1,1,0,0,0,40,67430,0,0,4968,0,0,3,544592,72,752.4,0,1,1,544592.0
46,0,1,0,2,0,21,70341,0,2,899,1,0,3,314223,60,792.31,0,1,0,314223.0
57,0,1,2,1,0,23,61382,0,2,9,0,1,0,1859858,36,815.47,0,1,0,1859858.0
60,0,1,1,1,0,31,52537,31675,0,13823,0,1,1,826505,48,758.55,0,1,1,826505.0
52,0,1,0,1,0,28,52923,0,2,16728,0,1,0,871935,24,783.85,0,1,0,871935.0
60,0,0,1,1,0,37,64700,0,2,18594,0,1,3,159373,84,772.13,0,1,0,159373.0
63,0,0,2,0,0,38,53592,0,1,15623,1,1,1,221389,48,751.82,0,1,0,221389.0
62,0,1,0,1,0,43,56352,0,2,5764,0,2,2,2054080,72,766.33,0,1,0,1557312.0
64,1,1,1,1,0,37,62355,14447,2,8396,1,1,3,974993,84,774.26,0,1,0,974993.0
62,1,0,0,1,1,39,59059,37086,2,13232,2,0,1,1938339,72,774.39,0,1,0,1114361.0
63,1,0,3,2,1,27,67154,50701,2,12847,1,0,0,634933,60,768.8,0,1,0,634933.0
52,1,1,2,1,0,31,60053,0,1,6608,1,1,2,447693,72,757.3,0,1,0,447693.0
53,0,1,3,1,0,24,59895,43165,2,3954,1,1,4,1861408,72,807.2,0,1,0,1811637.0
58,1,1,1,2,0,39,62260,0,2,12951,1,0,2,1431880,60,757.08,0,1,0,1402040.0
61,1,0,1,1,0,34,64938,44533,2,17215,1,1,1,1008872,18,801.76,0,1,0,1008872.0
44,0,0,2,2,0,21,71946,0,2,8581,0,1,2,320804,84,772.46,0,1,0,320804.0
64,0,1,0,1,1,39,41313,30560,0,862,0,2,0,1652520,36,807.04,0,1,1,1414923.0
64,0,1,1,1,0,34,55458,0,2,975,0,2,3,2002361,18,792.5,0,1,0,1923480.0
64,1,0,1,1,1,46,65119,50185,1,15108,0,0,2,205647,18,767.82,0,1,0,205647.0
63,0,0,1,1,1,26,61741,27163,2,6224,1,1,1,614267,18,754.72,0,1,0,614267.0
60,0,0,0,2,0,33,63785,34563,0,7814,0,0,1,2181745,24,750.69,0,1,1,2044939.0
64,1,1,0,1,0,38,61308,0,0,5960,1,2,3,1767321,48,751.97,0,1,1,1767321.0
61,0,1,0,1,0,39,47300,48118,2,7781,1,0,1,1892000,48,765.88,0,1,0,1282012.0
63,1,1,0,1,0,41,50546,0,1,12296,0,1,0,832734,12,789.72,0,1,0,832734.0
63,1,0,2,2,0,36,68057,0,2,1521,0,0,2,387563,36,788.05,0,1,0,387563.0
44,0,1,3,1,0,22,75070,0,2,8713,1,1,2,2101283,18,756.21,0,1,0,2101283.0
64,1,0,0,1,0,31,57418,0,2,3643,1,0,1,656776,60,789.5,0,1,0,656776.0
62,1,0,1,1,0,33,62267,0,2,11664,1,0,0,2090012,24,765.72,0,1,0,1899409.0
56,1,0,2,2,0,27,63834,0,2,19467,0,0,4,1167022,72,752.07,0,1,0,832566.0
53,1,1,0,1,0,30,48622,52469,0,10863,1,1,2,1066491,48,791.4,0,1,1,1066491.0
61,1,1,1,1,0,41,60002,32320,2,12476,0,2,0,1733489,72,756.64,0,1,0,1201798.0
38,0,1,0,2,0,21,72541,0,2,11482,1,1,3,1925842,18,751.03,0,1,0,1925842.0
63,1,1,0,2,1,45,69461,0,0,7262,0,2,2,1173243,36,757.37,0,1,1,1173243.0
42,1,1,1,1,0,2,44648,0,2,3014,1,1,1,1785920,24,783.81,0,1,0,1490344.0
62,0,0,2,1,0,43,68193,0,2,4713,0,1,2,2172270,72,783.57,0,1,0,2047419.0
61,1,1,3,2,1,36,61812,0,2,20771,1,0,2,2239686,18,776.93,0,1,0,1789542.0
61,0,1,1,2,0,41,61812,37067,2,216,1,0,1,1394778,24,772.96,0,1,0,1394778.0
62,1,1,2,1,1,35,58380,0,2,3488,2,1,0,2049964,12,770.36,0,1,0,2001444.0
62,1,1,0,1,0,38,59924,0,2,12296,0,0,1,378035,12,756.97,0,1,0,378035.0
62,1,1,0,2,0,27,58028,8133,0,3599,1,1,1,2140982,84,750.33,0,1,1,1728664.0
54,0,0,2,2,0,28,70595,0,2,13513,1,0,3,355271,72,752.23,0,1,0,355271.0
63,0,0,0,2,1,36,66290,21754,2,16037,0,1,1,2451600,72,761.23,0,1,0,1165486.0
64,1,0,1,0,0,41,48357,33169,2,13658,2,0,1,1190822,24,759.06,0,1,0,1190822.0
64,1,1,1,1,0,43,60219,44499,2,1513,1,0,2,67171,12,799.1,0,1,0,67171.0
64,1,1,0,2,1,30,63916,0,2,9691,2,0,1,359456,60,754.76,0,1,0,359456.0
63,1,0,2,0,1,41,44438,0,0,574,1,2,5,388530,72,775.77,0,1,0,388530.0
59,1,1,0,1,1,27,65075,0,2,14189,0,1,0,67445,12,750.77,0,1,0,67445.0
58,0,1,2,0,0,33,63532,0,1,13936,1,2,0,758359,18,768.19,0,1,0,758359.0
55,1,1,0,1,1,33,56712,0,2,12923,1,1,3,1485608,24,777.97,0,1,0,1485608.0
52,1,0,2,0,0,16,36714,0,0,7313,0,0,0,1268560,18,760.23,0,1,1,1153356.0
53,0,1,0,1,0,34,49067,24205,2,16382,1,1,2,594982,12,752.61,0,1,0,594982.0
61,1,1,1,2,0,27,67768,41126,1,3712,2,2,4,1855767,72,758.43,0,1,0,1855767.0
61,1,1,1,1,0,41,55238,0,1,8641,1,0,4,230607,36,760.48,0,1,0,230607.0
60,1,1,1,1,0,40,56055,0,2,11818,1,2,2,905598,48,765.84,0,1,0,905598.0
54,1,1,0,2,0,33,65689,0,2,3871,0,1,4,1260953,36,762.03,0,1,0,1260953.0
53,1,0,1,1,1,34,64444,0,2,1262,1,0,0,1084759,18,753.7,0,1,0,1084759.0
47,1,1,1,1,0,25,58104,0,2,6064,2,0,4,1491044,36,760.56,0,1,0,1491044.0
41,1,0,0,2,0,22,56974,0,2,14817,1,0,2,2078960,12,753.56,0,1,0,1816286.0
62,1,1,1,1,1,30,45200,17599,2,2663,0,1,1,1261371,48,762.97,0,1,0,1261371.0
46,0,0,1,2,0,28,65569,42562,2,6535,0,0,0,1473708,84,760.11,0,1,0,1473708.0
54,1,1,1,1,0,29,58652,42477,1,2334,0,0,2,2146080,12,753.97,0,1,0,2024812.0
52,1,1,0,1,0,31,76305,38825,2,13345,0,0,0,1955783,48,750.24,0,1,0,1955783.0
61,0,0,1,1,0,34,61146,0,0,15530,1,2,4,439232,72,750.61,0,1,0,439232.0
58,1,0,2,1,1,39,57003,33401,1,7979,0,0,2,1217101,24,777.09,0,1,0,1217101.0
63,1,1,0,1,1,41,55763,0,2,6213,1,0,1,326476,18,776.88,0,1,0,326476.0
61,1,1,0,1,1,38,59637,0,2,6104,2,0,1,1524403,36,768.79,0,1,0,1524403.0
64,0,1,1,2,0,39,64765,0,2,14280,0,2,2,1447540,72,780.74,0,1,0,1238615.0
59,1,1,0,1,0,42,58335,0,0,6393,1,0,3,1438173,72,766.05,0,1,1,1438173.0
59,1,1,1,2,0,32,73661,0,2,16968,0,1,1,858971,84,756.0,0,1,0,858971.0
63,0,0,1,2,0,17,63838,8682,1,6911,2,2,3,1633547,48,754.17,0,1,0,1633547.0
58,0,1,2,1,0,38,67759,26957,0,8634,1,1,2,1437731,12,771.59,0,1,1,1437731.0
63,1,1,2,2,1,42,61460,0,0,500,2,1,4,2241510,84,764.55,0,1,1,2109100.0
57,0,0,0,2,0,39,76342,0,2,8000,0,2,5,1592050,18,780.26,0,1,0,1592050.0
64,0,0,2,0,0,42,47375,0,2,1482,0,1,1,1577221,60,807.74,0,1,0,1569205.0
58,0,1,1,1,0,32,58583,0,1,16440,2,2,5,1662565,60,751.82,0,1,0,1064005.0
64,0,1,1,1,0,33,69218,0,1,19112,1,0,1,627884,18,770.83,0,1,0,627884.0
54,1,1,1,1,0,34,44099,46419,2,7253,2,0,4,316367,12,761.64,0,1,0,316367.0
46,0,1,0,1,1,27,49843,0,2,215,1,1,2,1959390,48,770.81,0,1,0,1734185.0
60,0,1,1,2,1,39,58516,0,1,1252,0,0,2,845785,18,793.13,0,1,0,845785.0
53,1,1,1,2,0,3,36263,0,2,8000,0,2,0,884049,84,767.66,0,1,0,597205.0
58,1,0,0,2,0,28,74981,24740,2,16369,0,1,2,415414,72,763.39,0,1,0,415414.0
62,0,1,0,1,0,40,62361,0,2,15584,1,2,2,1443019,12,791.28,0,1,0,1443019.0
61,1,1,0,1,0,27,51536,53589,2,11054,0,2,4,524661,84,771.25,0,1,0,524661.0
52,1,1,0,2,1,21,61837,0,2,5679,1,2,2,1998523,72,799.15,0,1,0,1755407.0
62,0,0,1,1,1,43,59983,0,2,17143,0,2,1,864209,72,752.31,0,1,0,864209.0
62,1,1,0,1,1,42,57636,41485,1,4743,1,0,0,1659443,72,769.47,0,1,0,1659443.0
60,0,1,0,1,0,21,62824,0,2,10493,1,2,0,1761851,84,754.0,0,1,0,1317428.0
61,1,1,0,2,0,27,71774,0,2,4047,0,1,1,434053,18,792.14,0,1,0,434053.0
59,1,1,2,1,1,29,60717,0,2,5191,0,0,3,72974,72,798.35,0,1,0,72974.0
58,1,0,0,1,0,33,61947,0,2,21663,1,1,3,1322914,36,770.98,0,1,0,1322914.0
48,1,0,0,2,0,21,64489,40367,1,3977,2,1,3,253382,84,751.33,0,1,0,253382.0
61,1,1,2,1,0,27,57532,0,2,10145,1,2,3,2301280,18,765.63,0,1,0,1831010.0
63,0,1,2,2,0,29,62893,50554,0,10640,2,1,3,1536662,72,759.8,0,1,1,1435175.0
48,0,1,0,1,0,23,69816,36765,2,16256,1,0,0,2091908,12,751.98,0,1,0,2091908.0
61,1,1,2,1,0,27,56803,15106,2,1920,0,0,0,2212616,36,785.03,0,1,0,1918985.0
58,1,1,0,1,0,31,59091,0,2,17372,0,0,0,1259820,12,757.56,0,1,0,1259820.0
46,1,0,0,1,0,21,44902,47323,1,3721,1,2,0,1742618,60,752.14,0,1,0,1348310.0
57,1,1,0,2,0,37,55593,0,2,2709,0,0,3,346687,48,759.27,0,1,0,346687.0
54,1,0,2,2,0,34,79718,58558,2,20385,0,0,0,924475,60,762.21,0,1,0,924475.0
52,1,1,0,2,0,34,66390,0,1,15692,1,1,3,1656249,12,751.62,0,1,0,1656249.0
44,0,0,1,0,1,23,37518,0,1,4276,2,1,3,850459,12,753.77,0,1,0,850459.0
59,1,0,1,1,0,27,54912,9821,2,4747,1,0,3,262294,36,757.25,0,1,0,262294.0
56,1,1,1,1,0,33,66753,0,2,8237,1,0,2,1459892,24,792.97,0,1,0,1459892.0
48,1,0,0,2,0,30,63184,0,2,2415,1,1,3,2327360,72,804.69,0,1,0,2037560.0
44,0,0,0,1,0,14,44686,0,2,8365,0,1,1,704797,48,765.02,0,1,0,704797.0
52,1,1,0,1,0,34,65393,46493,2,13884,2,2,1,918484,18,783.59,0,1,0,918484.0
64,1,0,0,1,0,42,74730,0,1,11868,0,2,2,2360196,60,782.22,0,1,0,1903470.0
55,1,0,1,2,0,37,64982,0,2,7491,1,2,2,2387388,18,796.07,0,1,0,2139532.0
52,0,1,1,0,0,31,44672,0,2,3095,2,1,3,813071,18,801.24,0,1,0,813071.0
62,1,0,1,1,1,41,69158,10696,2,9250,0,0,4,807726,48,766.67,0,1,0,807726.0
48,0,1,1,2,1,28,71070,16704,1,6499,1,0,0,1263235,72,767.11,0,1,0,1263235.0
61,0,1,0,2,0,30,58655,0,2,8348,1,0,4,1214027,48,767.75,0,1,0,1214027.0
46,0,1,2,2,1,20,64639,0,2,12046,0,0,3,292068,48,760.71,0,1,0,292068.0
62,1,1,2,1,0,33,56253,30337,2,6843,0,0,1,1429831,60,784.2,0,1,0,1429831.0
58,0,1,1,0,0,25,49878,12782,1,8188,1,0,2,1995120,48,788.24,0,1,0,1352706.0
60,0,1,1,1,1,13,51468,43296,2,14589,0,0,1,1807758,12,751.73,0,1,0,1626312.0
53,0,0,1,2,0,27,56154,46390,2,13675,0,2,2,915639,84,752.94,0,1,0,816690.0
64,1,0,1,1,0,38,57358,0,2,9888,0,1,2,430513,72,758.37,0,1,0,430513.0
64,1,1,0,1,0,37,67951,20917,2,45,0,0,1,1945422,72,771.86,0,1,0,1945422.0
53,1,1,1,1,0,33,55156,0,2,3014,2,0,4,955323,18,758.07,0,1,0,955323.0
